# 9-point isotropic stencil, Laplace equation on unit square
# BC: u = 4*x*(1-x) on top edge (y=1); u = 0 elsewhere
# Columns: x   y   u_numerical   u_exact
#
   7.619048E-01   7.142857E-01   2.853646E-01   2.853655E-01
   8.095238E-01   7.142857E-01   2.372421E-01   2.372431E-01
   8.571429E-01   7.142857E-01   1.833750E-01   1.833759E-01
   9.047619E-01   7.142857E-01   1.249319E-01   1.249327E-01
   9.523810E-01   7.142857E-01   6.329037E-02   6.329079E-02
   1.000000E+00   7.142857E-01   0.000000E+00   5.203884E-17

   0.000000E+00   7.619048E-01   0.000000E+00   0.000000E+00
   4.761905E-02   7.619048E-01   7.423971E-02   7.424040E-02
   9.523810E-02   7.619048E-01   1.464274E-01   1.464285E-01
   1.428571E-01   7.619048E-01   2.146730E-01   2.146743E-01
   1.904762E-01   7.619048E-01   2.773530E-01   2.773542E-01
   2.380952E-01   7.619048E-01   3.331435E-01   3.331446E-01
   2.857143E-01   7.619048E-01   3.810039E-01   3.810048E-01
   3.333333E-01   7.619048E-01   4.201397E-01   4.201405E-01
   3.809524E-01   7.619048E-01   4.499639E-01   4.499646E-01
   4.285714E-01   7.619048E-01   4.700639E-01   4.700645E-01
   4.761905E-01   7.619048E-01   4.801776E-01   4.801781E-01
   5.238095E-01   7.619048E-01   4.801776E-01   4.801781E-01
   5.714286E-01   7.619048E-01   4.700639E-01   4.700645E-01
   6.190476E-01   7.619048E-01   4.499639E-01   4.499646E-01
   6.666667E-01   7.619048E-01   4.201397E-01   4.201405E-01
   7.142857E-01   7.619048E-01   3.810039E-01   3.810048E-01
   7.619048E-01   7.619048E-01   3.331435E-01   3.331446E-01
   8.095238E-01   7.619048E-01   2.773530E-01   2.773542E-01
   8.571429E-01   7.619048E-01   2.146730E-01   2.146743E-01
   9.047619E-01   7.619048E-01   1.464274E-01   1.464285E-01
   9.523810E-01   7.619048E-01   7.423971E-02   7.424040E-02
   1.000000E+00   7.619048E-01   0.000000E+00   6.105988E-17

   0.000000E+00   8.095238E-01   0.000000E+00   0.000000E+00
   4.761905E-02   8.095238E-01   8.726992E-02   8.727119E-02
   9.523810E-02   8.095238E-01   1.719115E-01   1.719134E-01
   1.428571E-01   8.095238E-01   2.515878E-01   2.515897E-01
   1.904762E-01   8.095238E-01   3.244011E-01   3.244026E-01
   2.380952E-01   8.095238E-01   3.888936E-01   3.888948E-01
   2.857143E-01   8.095238E-01   4.439785E-01   4.439794E-01
   3.333333E-01   8.095238E-01   4.888597E-01   4.888604E-01
   3.809524E-01   8.095238E-01   5.229670E-01   5.229676E-01
   4.285714E-01   8.095238E-01   5.459083E-01   5.459088E-01
   4.761905E-01   8.095238E-01   5.574381E-01   5.574386E-01
   5.238095E-01   8.095238E-01   5.574381E-01   5.574386E-01
   5.714286E-01   8.095238E-01   5.459083E-01   5.459088E-01
   6.190476E-01   8.095238E-01   5.229670E-01   5.229676E-01
   6.666667E-01   8.095238E-01   4.888597E-01   4.888604E-01
   7.142857E-01   8.095238E-01   4.439785E-01   4.439794E-01
   7.619048E-01   8.095238E-01   3.888936E-01   3.888948E-01
   8.095238E-01   8.095238E-01   3.244011E-01   3.244026E-01
   8.571429E-01   8.095238E-01   2.515878E-01   2.515897E-01
   9.047619E-01   8.095238E-01   1.719115E-01   1.719134E-01
   9.523810E-01   8.095238E-01   8.726992E-02   8.727119E-02
   1.000000E+00   8.095238E-01   0.000000E+00   7.181262E-17

   0.000000E+00   8.571429E-01   0.000000E+00   0.000000E+00
   4.761905E-02   8.571429E-01   1.029819E-01   1.029846E-01
   9.523810E-02   8.571429E-01   2.024386E-01   2.024421E-01
   1.428571E-01   8.571429E-01   2.954408E-01   2.954436E-01
   1.904762E-01   8.571429E-01   3.798317E-01   3.798336E-01
   2.380952E-01   8.571429E-01   4.540995E-01   4.541008E-01
   2.857143E-01   8.571429E-01   5.171938E-01   5.171947E-01
   3.333333E-01   8.571429E-01   5.683829E-01   5.683835E-01
   3.809524E-01   8.571429E-01   6.071601E-01   6.071606E-01
   4.285714E-01   8.571429E-01   6.331851E-01   6.331856E-01
   4.761905E-01   8.571429E-01   6.462478E-01   6.462482E-01
   5.238095E-01   8.571429E-01   6.462478E-01   6.462482E-01
